month,year,asylum_seekers
januari,2020,2.739
februari,2020,1.990
maart,2020,1.116
april,2020,236
mei,2020,389
juni,2020,623
juli,2020,820
augustus,2020,1.270
september,2020,1.961
oktober,2020,1.716
november,2020,2.014
januari,2021,1.377
februari,2021,1.422
maart,2021,1.653
april,2021,1.585
mei,2021,1.462
juni,2021,1.927
juli,2021,2.118
augustus,2021,2.859
september,2021,3.089
oktober,2021,2.392
november,2021,2.404
januari,2022,2.665
februari,2022,2.290
maart,2022,3.239
april,2022,2.324
mei,2022,2.556
juni,2022,2.936
juli,2022,3.042
augustus,2022,3.529
september,2022,4.009
oktober,2022,4.220
november,2022,3.369
januari,2023,2.777
februari,2023,2.399
maart,2023,2.634
april,2023,2.053
mei,2023,2.703
juni,2023,2.740
juli,2023,2.972
augustus,2023,3.639
september,2023,3.234
oktober,2023,3.638
november,2023,3.223
januari,2024,3.106
februari,2024,2.762
maart,2024,2.667
april,2024,3.095
mei,2024,3.256
juni,2024,2.694
juli,2024,3.441
augustus,2024,3.337
september,2024,3.686
oktober,2024,4.323
november,2024,3.236
januari,2025,3.540
februari,2025,3.063
maart,2025,2.569
april,2025,2.834
mei,2025,2.496
juni,2025,3.004
juli,2025,3.269
augustus,2025,2.895
